"","capital_name","country","pop","lat","long"
"1","Amsterdam","Netherlands",744159,52.37,4.89
"2","Ankara","Turkey",3579706,39.93,32.85
"3","Athens","Greece",725049,37.98,23.73
"4","Berlin","Germany",3378275,52.52,13.38
"5","Bern","Switzerland",120596,46.95,7.44
"6","Bratislava","Slovakia",422452,48.16,17.13
"7","Brussels","Belgium",1031925,50.83,4.33
"8","Bucharest","Romania",1862930,44.44,26.1
"9","Budapest","Hungary",1700019,47.51,19.08
"10","Copenhagen","Denmark",1091978,55.68,12.57
"11","Dublin","Ireland",1030431,53.33,-6.25
"12","Helsinki","Finland",558341,60.17,24.94
"13","Lisbon","Portugal",508209,38.72,-9.14
"14","Ljubljana","Slovenia",254188,46.06,14.51
"15","Luxemburg","Luxembourg",76380,49.62,6.12
"16","Madrid","Spain",3146804,40.42,-3.71
"17","Nicosia","Cyprus",202488,35.16,33.38
"18","Oslo","Norway",821445,59.91,10.75
"19","Paris","France",2141839,48.86,2.34
"20","Reykjavik","Iceland",114576,64.14,-21.92
"21","Riga","Latvia",738386,56.97,24.13
"22","Rome","Italy",2561181,41.89,12.5
"23","Sofia","Bulgaria",1166143,42.69,23.31
"24","Stockholm","Sweden",1260712,59.33,18.07
"25","Tallinn","Estonia",392386,59.44,24.74
"26","Tirana","Albania",380403,41.33,19.82
"27","Vaduz","Liechtenstein",5248,47.14,9.53
"28","Valletta","Malta",6748,35.91,14.52
"29","Vienna","Austria",1570976,48.22,16.37
"30","Vilnius","Lithuania",542014,54.7,25.27
"31","Warsaw","Poland",1634441,52.26,21.02
"32","Zagreb","Croatia",700717,45.8,15.97
"33","London","United Kingdom",7489022,51.52,-0.1
"34","Podgorica","Montenegro",160103,42.47,19.28
"35","Belgrade","Serbia",1113589,44.83,20.5
"36","Prague","Czechia",1168374,50.08,14.43
"37","Skopje","North Macedonia",477493,42,21.47
