Year_week,Year,Week,Deaths
2015.1.,2015.,1.,2800
2015.2.,2015.,2.,3005
2015.3.,2015.,3.,2900
2015.4.,2015.,4.,3005
2015.5.,2015.,5.,3067
2015.6.,2015.,6.,3350
2015.7.,2015.,7.,3280
2015.8.,2015.,8.,3349
2015.9.,2015.,9.,3120
2015.10.,2015.,10.,2962
2015.11.,2015.,11.,2777
2015.12.,2015.,12.,2764
2015.13.,2015.,13.,2690
2015.14.,2015.,14.,2639
2015.15.,2015.,15.,2612
2015.16.,2015.,16.,2612
2015.17.,2015.,17.,2598
2015.18.,2015.,18.,2467
2015.19.,2015.,19.,2420
2015.20.,2015.,20.,2293
2015.21.,2015.,21.,2274
2015.22.,2015.,22.,2177
2015.23.,2015.,23.,2434
2015.24.,2015.,24.,2298
2015.25.,2015.,25.,2067
2015.26.,2015.,26.,2141
2015.27.,2015.,27.,2383
2015.28.,2015.,28.,2491
2015.29.,2015.,29.,2358
2015.30.,2015.,30.,2625
2015.31.,2015.,31.,2020
2015.32.,2015.,32.,2378
2015.33.,2015.,33.,2747
2015.34.,2015.,34.,2002
2015.35.,2015.,35.,2282
2015.36.,2015.,36.,2220
2015.37.,2015.,37.,2192
2015.38.,2015.,38.,2379
2015.39.,2015.,39.,2147
2015.40.,2015.,40.,2192
2015.41.,2015.,41.,2332
2015.42.,2015.,42.,2463
2015.43.,2015.,43.,2437
2015.44.,2015.,44.,2418
2015.45.,2015.,45.,2425
2015.46.,2015.,46.,2315
2015.47.,2015.,47.,2440
2015.48.,2015.,48.,2389
2015.49.,2015.,49.,2385
2015.50.,2015.,50.,2418
2015.51.,2015.,51.,2406
2015.52.,2015.,52.,2514
2015.53.,2015.,53.,2519
2016.1.,2016.,1.,2823
2016.2.,2016.,2.,2640
2016.3.,2016.,3.,2562
2016.4.,2016.,4.,2615
2016.5.,2016.,5.,2483
2016.6.,2016.,6.,2640
2016.7.,2016.,7.,2575
2016.8.,2016.,8.,2491
2016.9.,2016.,9.,2535
2016.10.,2016.,10.,2496
2016.11.,2016.,11.,2438
2016.12.,2016.,12.,2481
2016.13.,2016.,13.,2537
2016.14.,2016.,14.,2456
2016.15.,2016.,15.,2318
2016.16.,2016.,16.,2349
2016.17.,2016.,17.,2364
2016.18.,2016.,18.,2279
2016.19.,2016.,19.,2370
2016.20.,2016.,20.,2381
2016.21.,2016.,21.,2261
2016.22.,2016.,22.,2285
2016.23.,2016.,23.,2235
2016.24.,2016.,24.,2151
2016.25.,2016.,25.,2481
2016.26.,2016.,26.,2303
2016.27.,2016.,27.,2102
2016.28.,2016.,28.,2276
2016.29.,2016.,29.,2210
2016.30.,2016.,30.,2277
2016.31.,2016.,31.,2221
2016.32.,2016.,32.,2120
2016.33.,2016.,33.,2222
2016.34.,2016.,34.,2241
2016.35.,2016.,35.,2320
2016.36.,2016.,36.,2246
2016.37.,2016.,37.,2365
2016.38.,2016.,38.,2263
2016.39.,2016.,39.,2423
2016.40.,2016.,40.,2447
2016.41.,2016.,41.,2538
2016.42.,2016.,42.,2493
2016.43.,2016.,43.,2527
2016.44.,2016.,44.,2458
2016.45.,2016.,45.,2471
2016.46.,2016.,46.,2483
2016.47.,2016.,47.,2539
2016.48.,2016.,48.,2540
2016.49.,2016.,49.,2635
2016.50.,2016.,50.,2585
2016.51.,2016.,51.,2845
2016.52.,2016.,52.,2897
2017.1.,2017.,1.,3155
2017.2.,2017.,2.,3311
2017.3.,2017.,3.,3449
2017.4.,2017.,4.,3574
2017.5.,2017.,5.,3616
2017.6.,2017.,6.,3256
2017.7.,2017.,7.,2991
2017.8.,2017.,8.,2890
2017.9.,2017.,9.,2668
2017.10.,2017.,10.,2671
2017.11.,2017.,11.,2582
2017.12.,2017.,12.,2584
2017.13.,2017.,13.,2546
2017.14.,2017.,14.,2422
2017.15.,2017.,15.,2492
2017.16.,2017.,16.,2527
2017.17.,2017.,17.,2480
2017.18.,2017.,18.,2479
2017.19.,2017.,19.,2340
2017.20.,2017.,20.,2323
2017.21.,2017.,21.,2209
2017.22.,2017.,22.,2382
2017.23.,2017.,23.,2126
2017.24.,2017.,24.,2145
2017.25.,2017.,25.,2297
2017.26.,2017.,26.,2136
2017.27.,2017.,27.,2143
2017.28.,2017.,28.,2288
2017.29.,2017.,29.,2271
2017.30.,2017.,30.,2140
2017.31.,2017.,31.,2657
2017.32.,2017.,32.,2292
2017.33.,2017.,33.,2147
2017.34.,2017.,34.,2155
2017.35.,2017.,35.,2239
2017.36.,2017.,36.,2186
2017.37.,2017.,37.,2290
2017.38.,2017.,38.,2312
2017.39.,2017.,39.,2351
2017.40.,2017.,40.,2428
2017.41.,2017.,41.,2496
2017.42.,2017.,42.,2357
2017.43.,2017.,43.,2338
2017.44.,2017.,44.,2397
2017.45.,2017.,45.,2324
2017.46.,2017.,46.,2423
2017.47.,2017.,47.,2503
2017.48.,2017.,48.,2437
2017.49.,2017.,49.,2655
2017.50.,2017.,50.,2580
2017.51.,2017.,51.,2605
2017.52.,2017.,52.,2628
2018.1.,2018.,1.,2595
2018.2.,2018.,2.,2546
2018.3.,2018.,3.,2675
2018.4.,2018.,4.,2655
2018.5.,2018.,5.,2731
2018.6.,2018.,6.,2833
2018.7.,2018.,7.,3037
2018.8.,2018.,8.,3161
2018.9.,2018.,9.,3237
2018.10.,2018.,10.,3218
2018.11.,2018.,11.,3016
2018.12.,2018.,12.,2878
2018.13.,2018.,13.,2774
2018.14.,2018.,14.,2622
2018.15.,2018.,15.,2576
2018.16.,2018.,16.,2336
2018.17.,2018.,17.,2300
2018.18.,2018.,18.,2294
2018.19.,2018.,19.,2160
2018.20.,2018.,20.,2154
2018.21.,2018.,21.,2352
2018.22.,2018.,22.,2393
2018.23.,2018.,23.,2228
2018.24.,2018.,24.,2243
2018.25.,2018.,25.,2188
2018.26.,2018.,26.,2140
2018.27.,2018.,27.,2225
2018.28.,2018.,28.,2285
2018.29.,2018.,29.,2265
2018.30.,2018.,30.,2389
2018.31.,2018.,31.,2479
2018.32.,2018.,32.,2419
2018.33.,2018.,33.,2199
2018.34.,2018.,34.,2323
2018.35.,2018.,35.,2254
2018.36.,2018.,36.,2267
2018.37.,2018.,37.,2356
2018.38.,2018.,38.,2385
2018.39.,2018.,39.,2362
2018.40.,2018.,40.,2498
2018.41.,2018.,41.,2512
2018.42.,2018.,42.,2432
2018.43.,2018.,43.,2409
2018.44.,2018.,44.,2361
2018.45.,2018.,45.,2362
2018.46.,2018.,46.,2408
2018.47.,2018.,47.,2555
2018.48.,2018.,48.,2559
2018.49.,2018.,49.,2644
2018.50.,2018.,50.,2677
2018.51.,2018.,51.,2797
2018.52.,2018.,52.,2860
2019.1.,2019.,1.,3054
2019.2.,2019.,2.,3090
2019.3.,2019.,3.,3037
2019.4.,2019.,4.,3234
2019.5.,2019.,5.,3384
2019.6.,2019.,6.,3263
2019.7.,2019.,7.,3034
2019.8.,2019.,8.,2888
2019.9.,2019.,9.,2909
2019.10.,2019.,10.,2713
2019.11.,2019.,11.,2733
2019.12.,2019.,12.,2469
2019.13.,2019.,13.,2411
2019.14.,2019.,14.,2414
2019.15.,2019.,15.,2393
2019.16.,2019.,16.,2327
2019.17.,2019.,17.,2442
2019.18.,2019.,18.,2316
2019.19.,2019.,19.,2283
2019.20.,2019.,20.,2208
2019.21.,2019.,21.,2283
2019.22.,2019.,22.,2196
2019.23.,2019.,23.,2288
2019.24.,2019.,24.,2623
2019.25.,2019.,25.,2217
2019.26.,2019.,26.,2247
2019.27.,2019.,27.,2242
2019.28.,2019.,28.,2065
2019.29.,2019.,29.,2292
2019.30.,2019.,30.,2471
2019.31.,2019.,31.,2170
2019.32.,2019.,32.,2215
2019.33.,2019.,33.,2218
2019.34.,2019.,34.,2235
2019.35.,2019.,35.,2373
2019.36.,2019.,36.,2199
2019.37.,2019.,37.,2154
2019.38.,2019.,38.,2241
2019.39.,2019.,39.,2494
2019.40.,2019.,40.,2442
2019.41.,2019.,41.,2382
2019.42.,2019.,42.,2394
2019.43.,2019.,43.,2355
2019.44.,2019.,44.,2297
2019.45.,2019.,45.,2443
2019.46.,2019.,46.,2359
2019.47.,2019.,47.,2301
2019.48.,2019.,48.,2357
2019.49.,2019.,49.,2561
2019.50.,2019.,50.,2526
2019.51.,2019.,51.,2538
2019.52.,2019.,52.,2495
2020.1.,2020.,1.,2609
2020.2.,2020.,2.,2584
2020.3.,2020.,3.,2582
2020.4.,2020.,4.,2720
2020.5.,2020.,5.,2799
2020.6.,2020.,6.,2634
2020.7.,2020.,7.,2749
2020.8.,2020.,8.,2586
2020.9.,2020.,9.,2781
2020.10.,2020.,10.,2605
2020.11.,2020.,11.,2577
2020.12.,2020.,12.,2800
2020.13.,2020.,13.,2590
2020.14.,2020.,14.,2525
2020.15.,2020.,15.,2573
2020.16.,2020.,16.,2508
2020.17.,2020.,17.,2356
2020.18.,2020.,18.,2249
2020.19.,2020.,19.,2293
2020.20.,2020.,20.,2343
2020.21.,2020.,21.,2109
2020.22.,2020.,22.,2191
2020.23.,2020.,23.,2397
2020.24.,2020.,24.,2284
2020.25.,2020.,25.,2069
2020.26.,2020.,26.,2261
2020.27.,2020.,27.,2311
2020.28.,2020.,28.,2159
2020.29.,2020.,29.,2104
2020.30.,2020.,30.,2136
2020.31.,2020.,31.,2325
2020.32.,2020.,32.,2264
2020.33.,2020.,33.,2213
2020.34.,2020.,34.,2156
2020.35.,2020.,35.,2146
2020.36.,2020.,36.,2169
